ID,BCS_stage,Year,Parity,Age_at_first_mating,Litter_size,BCS
31246,BCS-W,2005,2,1,3,2.7
31246,BCS-Wp,2005,2,1,3,
31262,BCS-Wp,2004,1,1,2,
31278,BCS-Wp,2004,1,1,2,2.9
31279,BCS-W,2005,2,1,1,2.9
31279,BCS-Wp,2005,2,1,1,3.0
31280,BCS-W,2005,2,1,3,2.9
31280,BCS-Wp,2005,2,1,3,2.6
31281,BCS-Sb,2006,3,1,4,
31281,BCS-W,2006,3,1,4,2.8
31281,BCS-Wp,2006,3,1,4,
31284,BCS-W,2006,2,2,4,2.6
31284,BCS-Wp,2006,2,2,4,
31287,BCS-W,2005,2,1,3,2.5
31287,BCS-Wp,2005,2,1,3,
31300,BCS-W,2006,3,1,4,2.7
31300,BCS-Wp,2006,3,1,4,
31301,BCS-W,2005,2,1,1,2.5
31301,BCS-Wp,2005,2,1,1,
31312,BCS-Sb,2006,3,1,1,
31312,BCS-W,2006,3,1,1,2.8
31312,BCS-Wp,2006,3,1,1,
31321,BCS-Sb,2006,3,1,3,
31321,BCS-W,2006,3,1,3,2.6
31321,BCS-Wp,2006,3,1,3,
31324,BCS-W,2006,3,1,3,2.6
31324,BCS-Wp,2006,3,1,3,
31325,BCS-W,2006,2,2,4,2.6
31325,BCS-Wp,2006,2,2,4,
31326,BCS-Sb,2006,3,1,4,
31326,BCS-W,2006,3,1,4,2.5
31326,BCS-Wp,2006,3,1,4,
31330,BCS-Wp,2005,1,2,2,
31332,BCS-Wp,2005,1,2,2,
31334,BCS-W,2005,2,1,3,2.4
31334,BCS-Wp,2005,2,1,3,
31335,BCS-W,2006,2,2,2,3.0
31335,BCS-Wp,2006,2,2,2,
31339,BCS-Sb,2006,3,1,2,
31339,BCS-W,2006,3,1,2,3.1
31339,BCS-Wp,2006,3,1,2,
31340,BCS-W,2005,2,1,3,2.4
31340,BCS-Wp,2005,2,1,3,
31342,BCS-W,2006,3,1,4,2.5
31342,BCS-Wp,2006,3,1,4,
31343,BCS-Sb,2006,3,1,4,
31343,BCS-W,2006,3,1,4,2.8
31343,BCS-Wp,2006,3,1,4,
31349,BCS-W,2006,2,2,4,2.5
31349,BCS-Wp,2006,2,2,4,
31350,BCS-W,2005,2,1,1,2.5
31350,BCS-Wp,2005,2,1,1,
31356,BCS-W,2005,2,1,4,2.8
31356,BCS-Wp,2005,2,1,4,
31357,BCS-Wp,2005,2,1,2,
31364,BCS-Sb,2006,3,1,4,
31364,BCS-W,2006,3,1,4,2.8
31364,BCS-Wp,2006,3,1,4,
31372,BCS-Wp,2005,1,2,3,2.7
31374,BCS-Sb,2006,3,1,4,
31374,BCS-W,2006,3,1,4,2.3
31374,BCS-Wp,2006,3,1,4,2.4
31380,BCS-Sb,2006,3,1,3,
31380,BCS-W,2006,3,1,3,3.0
31380,BCS-Wp,2006,3,1,3,
31392,BCS-Sb,2006,3,1,4,
31392,BCS-W,2006,3,1,4,2.7
31392,BCS-Wp,2006,3,1,4,
31394,BCS-W,2006,2,2,3,2.5
31394,BCS-Wp,2006,2,2,3,
31399,BCS-Wp,2004,1,1,1,2.8
31406,BCS-W,2007,3,2,4,2.5
31406,BCS-Wp,2007,3,2,4,
31408,BCS-W,2005,2,1,3,2.4
31408,BCS-Wp,2005,2,1,3,
