ID,kb1,kb2,kb3,kp1,kp2,kp3,DT1,DT2,DT3
21159,3.19298608499561,3.48411673342849,3.8524730487952206,5.68179723107445,5.4811868689106396,3.13471354542756,133.0,119.0,256.0
21180,3.6307340275558704,4.18826616676398,3.17034003288098,5.09514164102069,5.48019813087762,5.40633125338649,278.0,83.0,229.0
21183,2.07427644461411,2.79942316288569,3.01849218175814,6.382922334529311,6.72388902201017,6.2939719035395,196.0,109.0,129.0
21191,3.38609883423749,2.8748282356770503,2.89405281221801,4.39773437850087,5.572703664926621,4.39876556346962,233.0,161.0,170.0
21193,2.90634742159364,2.40143008188873,8.6126789018892,5.99196603075178,5.49715610099948,4.85458782345972,146.0,72.0,330.0
21200,3.1269510939193,3.0689866671190895,3.31438731502552,6.349933757992471,6.85074492453828,6.62517524491186,254.0,136.0,125.0
21207,2.79218977966488,3.5466667553628897,2.96401495310312,4.78860964954649,6.93610013317803,4.020804671568199,157.0,103.0,286.0
21219,2.50118752049161,2.77669906204921,5.91632889462326,5.37180751872556,5.80629420083127,5.04842080618378,138.0,41.0,221.0
21220,2.6191197268794397,3.2909730796332,3.17463515561347,6.37592563777049,5.96028925717275,5.7015225144638,183.0,124.0,278.0
21226,3.7314075758357297,3.42601942796782,2.9513849615369803,6.41402329424597,5.1526281498728705,5.24034796769977,289.0,121.0,176.0
21243,3.98937069700186,3.71465075559428,3.6060090751164497,6.6487849130996395,5.81228328310743,4.863717044820451,156.0,161.0,182.0
21248,2.6849736238957997,3.3284020906173297,3.55187664374936,4.8398238388426,6.55358164565121,4.887398833014729,209.0,161.0,184.0
21256,3.89410604907667,3.3677693146081804,2.85397480692746,5.56853773950961,5.2226177044300295,4.63688175904033,218.0,199.0,161.0
21274,2.6918701915463,3.7275796585866297,2.86512284376832,7.33485019259748,7.90324669829604,7.213038212206571,180.0,121.0,156.0
21275,3.3425171407904894,3.1979028952591397,3.6124539041376793,6.07912748421335,8.06411479551034,5.73258875971235,160.0,135.0,151.0
21281,3.1894730938549603,3.35540374134709,2.43020019868307,6.19338270987698,5.9342022474073595,5.39926113457651,284.0,119.0,126.0
21286,3.1596747981256104,7.5790589716412,2.9082266421258502,4.82427792608581,7.233100489829991,3.00430804894207,174.0,114.0,372.0
21290,4.17417769126259,4.4614349355343395,4.05864629636627,5.955458144214079,2.81476657135026,3.7573572536071898,262.0,134.0,269.0
21294,3.9035486384508298,3.39164224789907,3.15945771035417,6.78229219357842,6.5875780720292605,5.4292145430778,167.0,154.0,162.0
21296,3.86386767534086,4.569404891645941,2.19633555500547,5.16839627848654,2.8500418978384396,4.93661345477126,339.0,114.0,188.0
21314,3.5728279746367204,3.60112032595257,3.59164630555121,5.788785630592161,6.59514296065513,5.91161025766742,231.0,164.0,177.0
21339,3.32791160230639,3.09151894892279,3.00343404921132,5.64958761720316,5.190142894620779,5.104482820184639,290.0,136.0,175.0
21351,2.85071389721257,2.12503886523557,3.01969139849205,5.073065105512999,6.6784549837268,6.3206616471096,200.0,104.0,149.0
21352,3.35135249139035,2.9793480238853998,2.52695280075485,4.544810684635211,6.93013917965393,5.55802001256734,305.0,162.0,186.0
21360,3.2083933819977104,4.27474029371559,3.2481894229346,6.79547347328254,7.27063748394873,5.66563314467339,146.0,119.0,175.0
21385,4.25503248513007,3.00011787397555,3.2411971293929898,6.264597099775671,6.557678233147629,4.93109123614735,209.0,157.0,162.0
21410,3.6612259519901795,3.9382564239731703,2.80452160478846,5.41445727397916,8.74493754962742,4.73838213363445,213.0,140.0,214.0
21412,3.98958780844616,2.77683701320176,2.95437534753068,6.124196310306029,6.15063967888186,5.63391572653209,245.0,191.0,186.0
21416,2.5895252172701198,5.03893812705313,4.86303663814864,8.71833070778627,8.725171923826041,8.43727978581808,166.0,131.0,186.0
21421,3.1567514012052,4.35942301632658,3.32270567465854,6.65894501705266,8.8313939872459,6.096420621808879,177.0,142.0,118.0
21435,3.52788882837426,5.04923663911886,2.72022683633947,7.291264488229671,4.82191403039271,4.9564074862971,234.0,150.0,214.0
21440,1.1410232638695699,3.09037243123484,2.03765758391055,7.2684756127400005,5.22202558797765,5.206904991360711,153.0,126.0,120.0
21454,3.10458098098093,3.5000818050438602,2.4559157992987997,3.9006639859593104,6.5382245947362,4.66095864900949,290.0,164.0,172.0
21455,3.22283295484281,3.13697724595834,3.5491602071382102,5.763563265813679,6.56146418386741,5.22832652420683,185.0,127.0,147.0
21458,3.9415780077750395,3.3493829466796803,3.5758540185105705,5.62282188828363,4.59937939972721,3.74032875237661,203.0,125.0,158.0
21462,3.98715393200121,4.42706128696161,1.9643387523213103,3.95350533161965,6.23301630402512,3.12678093825511,249.0,125.0,138.0
21475,3.9629962657929303,3.24592963139518,2.81630721134675,4.61808536422457,6.63340765337899,4.6134857610780795,182.0,130.0,200.0
21500,4.71467777801783,3.22791769404893,2.8961431986719397,4.3047020667121,6.50327151872161,4.45121586145615,151.0,200.0,152.0
21508,4.188434707128171,7.481768284104341,3.0399786768119803,4.3659841843089895,8.207687846000342,3.79616785182557,159.0,122.0,211.0
21511,4.32681543922223,2.75674774552302,3.1294062916133196,7.749481441228521,8.305140352529401,6.72491958494731,142.0,175.0,123.0
21516,4.6616598984703295,4.94894145289748,2.7881359997090103,6.49032538375354,6.1314439070758,3.3754792464960897,137.0,94.0,238.0
21544,3.63729362468726,2.78430784723794,2.81398539651209,5.551689686997229,5.4942902559490205,4.69350094803298,296.0,101.0,258.0
21545,3.8346601694178797,3.28932106505291,2.6450615290212,5.689865316254271,4.84733379336219,4.332556956212871,170.0,131.0,190.0
31281,4.72022903812774,3.1426397614064303,3.0976712538829,4.376369369016801,4.63239249613147,3.26822692805195,134.0,146.0,174.0
31312,3.48729139337475,2.6619846167583,3.34348348860562,4.859591217464439,5.70586077787653,3.06571749383111,204.0,134.0,162.0
31321,3.48287428510802,3.19116755410372,2.95514458726397,5.53293733849364,4.83720039671495,3.92399654640402,165.0,250.0,136.0
31326,3.75397338275092,3.72739521213672,3.1368726531431,4.301177752930561,5.97680358909558,3.73599644310181,219.0,113.0,274.0
31339,4.61317979331458,4.05300123977012,4.741534513358021,5.4496778294738295,6.32686633281029,3.4033732139055197,172.0,144.0,156.0
31343,3.74345426407608,3.0031439102893698,3.58655719074101,4.386983681016621,5.17990593314311,3.5860811809434705,199.0,225.0,122.0
31364,4.46067135875288,5.02082892475242,6.07880938836435,6.88189415325803,6.3078661739002495,2.19909519126105,165.0,175.0,300.0
31374,3.7421560854318705,2.74747323283674,2.79341578604848,5.13525124016698,6.09888395922097,5.201801950960229,254.0,182.0,173.0
31380,3.65268309504957,3.85868085537789,5.3582810181157,7.5284935480768205,8.40903739205817,4.560916341454071,186.0,174.0,287.0
31392,4.22059393433772,3.63027942267904,3.78782845672793,5.74047760410926,6.254965061384801,3.8250421243276502,160.0,129.0,217.0
31438,2.860016383221,2.68737229164708,4.6146714211270705,5.786882199408879,6.011709041506771,2.99972056948587,88.0,200.0,105.0
