"Ewe.ID","line","Parity","dbeg","dend","bcsinit"
21294,80,3,773,935,2.83011740548733
21296,81,1,0,339,3.09379981948959
21296,81,2,495,609,2.95403234209248
21296,81,3,732,920,2.9797879303957
21314,82,1,28,259,3.02674174156518
21314,82,2,421,585,2.70773488785306
21314,82,3,780,957,2.79599084710676
21316,83,1,18,226,2.91656025549056
21316,83,2,459,670,2.63450473129968
21316,83,3,NA,NA,0
21321,84,1,0,317,3.08329938451571
21321,84,2,458,565,2.56801320688843
21321,84,3,NA,NA,0
21339,85,1,17,307,2.94600451324558
21339,85,2,457,593,2.67818462241918
21339,85,3,752,927,2.59536596370638
21342,86,1,73,223,3.22010047181899
21342,86,2,406,670,3.32906379734914
21342,86,3,NA,NA,0
21351,87,1,16,216,2.61896846939258
21351,87,2,466,570,2.44059366929558
21351,87,3,821,970,2.5408040464299
21352,88,1,0,305,2.59666980999228
21352,88,2,456,618,2.42091317504941
21352,88,3,808,994,2.6408935558792
21357,89,1,0,296,3.00022890622004
21357,89,2,NA,NA,0
21357,89,3,NA,NA,0
21360,90,1,49,195,2.91708076872258
21360,90,2,444,563,2.82823470810499
21360,90,3,720,895,2.75781112285632
21367,91,1,0,212,3.2967129973452
21367,91,2,NA,NA,0
21367,91,3,NA,NA,0
21371,92,1,NA,NA,0
21371,92,2,447,583,2.96408869378041
21371,92,3,752,917,2.96497778675849
21375,93,1,NA,NA,0
21375,93,2,454,558,3.41404487944787
21375,93,3,NA,NA,0
21385,94,1,35,244,2.86487957988681
21385,94,2,402,559,2.85433308238753
21385,94,3,800,962,2.83675227438038
21389,95,1,36,296,2.84718105434846
21389,95,2,408,497,2.67335637242071
21389,95,3,NA,NA,0
21406,96,1,15,330,3.12890877008553
21406,96,2,NA,NA,0
21406,96,3,NA,NA,0
21410,97,1,16,229,2.81382971003953
21410,97,2,416,556,2.72126384197367
21410,97,3,760,974,2.91159021469928
21412,98,1,4,249,2.90714858437427
21412,98,2,373,564,2.62537938515698
21412,98,3,778,964,2.60245818860791
21416,99,1,34,200,3.33693445972001
21416,99,2,453,584,3.22670178185271
21416,99,3,784,970,3.23966620809681
21417,100,1,0,278,3.60576129300567
21417,100,2,460,670,2.9627370238855
21417,100,3,NA,NA,0
21420,101,1,28,162,3.08685226413737
21420,101,2,NA,NA,0
21420,101,3,NA,NA,0
21421,102,1,16,193,3.03108587485462
21421,102,2,438,580,2.90094801899636
21421,102,3,738,856,2.79400725681479
21430,103,1,58,219,2.71378990581661
21430,103,2,393,519,2.92949541045188
21430,103,3,NA,NA,0
21435,104,1,35,269,3.15845252067529
21435,104,2,459,609,2.88384548833095
21435,104,3,767,981,3.07535853587706
21438,105,1,26,258,2.86208283991956
21438,105,2,411,500,2.91316212531664
21438,105,3,NA,NA,0
21440,106,1,14,167,3.49834863481892
21440,106,2,445,571,2.87839472915191
21440,106,3,745,865,2.93973687974934
21443,107,1,18,186,2.91219515615722
21443,107,2,346,498,3.00656362359703
21443,107,3,NA,NA,0
21450,108,1,77,213,2.89332513130148
21450,108,2,387,566,2.80206574251396
21450,108,3,NA,NA,0
21454,109,1,0,290,3.10122355087838
21454,109,2,440,604,2.79455412552493
21454,109,3,815,987,2.80358746411913
21455,110,1,0,185,2.89631794491642
21455,110,2,432,559,2.64388270111734
21455,110,3,747,894,2.75024044256965
21458,111,1,43,246,3.01452542123048
21458,111,2,440,565,2.94005644880254
21458,111,3,698,856,2.79563264171449
21460,112,1,32,312,2.98353142965463
21460,112,2,447,564,2.75491886929264
21460,112,3,NA,NA,0
21462,113,1,0,249,2.89427106711687
21462,113,2,397,522,2.83213068713985
21462,113,3,727,865,3.04271850893939
21475,114,1,60,242,2.80942397407984
21475,114,2,389,519,2.62671735935177
21475,114,3,756,956,2.87151411030158
21477,115,1,18,330,2.91855820538288
21477,115,2,NA,NA,0
21477,115,3,NA,NA,0
