"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
41562;"BW-Sa";"BCS-Sa";2007;2;2;"1";"190";550;80200;2.98074236492741;3.5;NA
41562;"BW-Sb";"BCS-Sb";2007;2;2;"1";"230";590;NA;3.07793482258195;3.5;NA
41568;"BW-W";"BCS-W";2005;1;1;"1";"250";250;52400;2.4;3.5;2.4
41572;"BW-Sa";"BCS-Sa";2006;2;1;"3";"190";550;59300;2.5;3.5;2.5
41572;"BW-Sb";"BCS-Sb";2006;2;1;"3";"230";590;NA;2.41326217104279;3.5;NA
41573;"BW-Sa";"BCS-Sa";2006;2;1;"2";"190";550;60000;2.6;3.5;2.6
41573;"BW-Sb";"BCS-Sb";2006;2;1;"2";"230";590;NA;2.5962150669749;3.5;NA
41575;"BW-Sa";"BCS-Sa";2006;2;1;"1";"190";550;67900;2.8;3.5;2.8
41575;"BW-Sb";"BCS-Sb";2006;2;1;"1";"230";590;NA;2.7978069988069;3.5;NA
41577;"BW-Sa";"BCS-Sa";2006;2;1;"4";"190";550;66500;2.6;3.5;2.6
41577;"BW-Sb";"BCS-Sb";2006;2;1;"4";"230";590;NA;2.72450270467505;3.5;NA
41582;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;74700;2.4;3.5;2.4
41582;"BW-Sb";"BCS-Sb";2007;3;1;"4";"230";950;71700;2.38319564522847;3.5;NA
41605;"BW-Pb";"BCS-Pb";2008;3;2;"4";"80";800;61300;2.6;3.5;2.6
41605;"BW-L";"BCS-L";2008;3;2;"4";"160";880;58300;2.4;3.5;2.4
41605;"BW-Sa";"BCS-Sa";2008;3;2;"4";"190";910;55800;2.3;3.5;2.3
41606;"BW-Pb";"BCS-Pb";2007;3;1;"4";"80";800;77000;2.9;3.5;2.9
41606;"BW-L";"BCS-L";2007;3;1;"4";"160";880;72400;2.8;3.5;2.8
41606;"BW-Sa";"BCS-Sa";2007;3;1;"4";"190";910;73700;2.6;3.5;2.6
41610;"BW-Pb";"BCS-Pb";2008;3;2;"4";"80";800;60000;2.9;3.5;2.9
41610;"BW-L";"BCS-L";2008;3;2;"4";"160";880;54900;2.7;3.5;2.7
41610;"BW-Sa";"BCS-Sa";2008;3;2;"4";"190";910;53200;2.3;3.5;2.3
41622;"BW-Pb";"BCS-Pb";2008;3;2;"4";"80";800;70100;2.8;3.5;2.8
41622;"BW-L";"BCS-L";2008;3;2;"4";"160";880;68800;2.3;3.5;2.3
41622;"BW-Sa";"BCS-Sa";2008;3;2;"4";"190";910;59900;2.4;3.5;2.4
41629;"BW-Pb";"BCS-Pb";2008;3;2;"2";"80";800;71900;3;4;3
41629;"BW-L";"BCS-L";2008;3;2;"2";"160";880;57200;2.4;4;2.4
41629;"BW-Sa";"BCS-Sa";2008;3;2;"2";"190";910;55800;2.5;4;2.5
41630;"BW-Pb";"BCS-Pb";2007;3;1;"2";"80";800;72400;3.2;3.5;3.2
41630;"BW-L";"BCS-L";2007;3;1;"2";"160";880;62400;2.9;3.5;2.9
41630;"BW-Sa";"BCS-Sa";2007;3;1;"2";"190";910;60300;2.8;3.5;2.8
51105;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;60700;2.3;4;2.3
51105;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;59400;2.20231475154561;4;NA
51109;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;64600;2.6;3.5;2.6
51109;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;66500;2.6071109083466;3.5;NA
51115;"BW-W";"BCS-W";2007;2;1;"3";"250";610;66800;2.6;3.5;2.6
51116;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;69100;2.6;3.5;2.6
51116;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;68200;2.46077917574709;3.5;NA
51118;"BW-W";"BCS-W";2007;1;2;"2";"250";250;NA;NA;3.5;NA
51119;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;72400;2.6;3.5;2.6
51119;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;68400;2.49342483224728;3.5;NA
51122;"BW-W";"BCS-W";2007;2;1;"3";"250";610;78300;3;4;3
51123;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;74800;2.9;3.5;2.9
51123;"BW-Sb";"BCS-Sb";2007;2;1;"2";"230";590;73000;2.81605924497857;3.5;NA
51126;"BW-Sa";"BCS-Sa";2007;2;1;"3";"190";550;59000;2.4;3.5;2.4
51126;"BW-Sb";"BCS-Sb";2007;2;1;"3";"230";590;56100;2.2923329827352;3.5;NA
51128;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;61400;2.5;3.5;2.5
51128;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;59100;2.54148211288372;3.5;NA
51132;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;60400;2.4;3.5;2.4
51132;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;60500;2.44899556895318;3.5;NA
51133;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;62300;2.4;3.5;2.4
51133;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;65000;2.31200154338891;3.5;NA
51135;"BW-W";"BCS-W";2007;1;2;"3";"250";250;49500;2.4;3.5;2.4
51137;"BW-Sa";"BCS-Sa";2007;2;1;"1";"190";550;73300;3.3;4;3.3
51137;"BW-Sb";"BCS-Sb";2007;2;1;"1";"230";590;70900;3.03105032822503;4;NA
51143;"BW-Sa";"BCS-Sa";2007;2;1;"4";"190";550;60000;2.3;3.5;2.3
51143;"BW-Sb";"BCS-Sb";2007;2;1;"4";"230";590;58300;2.27853493866365;3.5;NA
51150;"BW-Sa";"BCS-Sa";2007;2;1;"2";"190";550;60400;2.5;3.5;2.5
