"Ewe";"BW.time";"BCS.time";"Year";"Parity";"Age_mating";"LS";"state.num";"day";"BW";"BCS";"BCSm";"BCS1"
21004;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38000;3.1;3.5;3.1
21004;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.7;3.5;2.7
21004;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21007;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41400;2.9;3.5;2.9
21007;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21007;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21009;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41100;3.3;4;3.3
21009;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.2;4;3.2
21009;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;4;2.9
21010;"BW-M";"BCS-M";2003;1;1;"1";"0";0;38800;3.2;3.5;3.2
21011;"BW-M";"BCS-M";2004;1;2;"1";"0";0;39700;2.6;3.5;2.6
21011;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.8;3.5;2.8
21013;"BW-M";"BCS-M";2004;1;2;"2";"0";0;60100;3;3.5;3
21013;"BW-Pa";"BCS-Pa";2004;1;2;"2";"40";40;NA;3;3.5;3
21019;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38700;2.6;3.5;2.6
21019;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.5;3.5;2.5
21019;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21026;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39600;3;3.5;3
21026;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21026;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3;3.5;3
21034;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39000;3;3.5;3
21034;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.1;3.5;3.1
21034;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21036;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40200;2.8;3.5;2.8
21036;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21036;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21040;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41900;2.9;3.5;2.9
21040;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.6;3.5;2.6
21040;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21059;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37900;3;3.5;3
21059;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.1;3.5;3.1
21059;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21061;"BW-M";"BCS-M";2004;1;2;"4";"0";0;43300;2.4;3.5;2.4
21061;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.6;3.5;2.6
21069;"BW-M";"BCS-M";2003;1;1;"2";"0";0;43300;3;3.5;3
21069;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21072;"BW-M";"BCS-M";2004;2;1;"1";"0";360;55300;2.4;3.5;2.4
21072;"BW-Pa";"BCS-Pa";2004;2;1;"1";"40";400;NA;2.6;3.5;2.6
21077;"BW-M";"BCS-M";2003;1;1;"4";"0";0;41700;2.7;3.5;2.7
21081;"BW-M";"BCS-M";2003;1;1;"2";"0";0;42200;3.1;3.5;3.1
21081;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.7;3.5;2.7
21081;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.6;3.5;2.6
21092;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38600;2.9;3.5;2.9
21094;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37100;2.8;3.5;2.8
21094;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21094;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21099;"BW-M";"BCS-M";2004;1;2;"1";"0";0;45600;2.8;3.5;2.8
21099;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.7;3.5;2.7
21102;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37900;2.7;3.5;2.7
21103;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37200;2.9;3.5;2.9
21103;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.7;3.5;2.7
21103;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.7;3.5;2.7
21104;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39500;2.8;3.5;2.8
21106;"BW-M";"BCS-M";2003;1;1;"1";"0";0;42200;3.2;3.5;3.2
21107;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37800;2.9;3.5;2.9
21107;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.9;3.5;2.9
21107;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.7;3.5;2.7
21113;"BW-M";"BCS-M";2003;1;1;"2";"0";0;42500;3.2;3.5;3.2
21113;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.2;3.5;3.2
21113;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21114;"BW-M";"BCS-M";2004;1;2;"1";"0";0;51200;2.8;3.5;2.8
21114;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.8;3.5;2.8
21121;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41100;3.3;3.5;3.3
21121;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.2;3.5;3.2
21121;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3.2;3.5;3.2
21124;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38000;2.7;3.5;2.7
21124;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21124;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.6;3.5;2.6
21126;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39200;2.9;3.5;2.9
21126;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21126;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21132;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37900;3;3.5;3
21133;"BW-M";"BCS-M";2004;1;2;"3";"0";0;45200;2.8;3.5;2.8
21133;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.8;3.5;2.8
21135;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40400;2.9;3.5;2.9
21135;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.1;3.5;3.1
21135;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21136;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39700;3;3.5;3
21137;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37400;3;3.5;3
21137;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21137;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3.3;3.5;3.3
21139;"BW-M";"BCS-M";2004;1;2;"4";"0";0;47000;2.8;3.5;2.8
21139;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.9;3.5;2.9
21140;"BW-M";"BCS-M";2004;1;2;"1";"0";0;48000;2.5;3.5;2.5
21140;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.7;3.5;2.7
21141;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39400;3.2;3.5;3.2
21141;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21141;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3.1;3.5;3.1
21144;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39100;3.1;3.5;3.1
21145;"BW-M";"BCS-M";2005;2;2;"3";"0";360;56200;3;3.5;3
21155;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37900;3;3.5;3
21158;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41800;3;3.5;3
21158;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21158;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.6;3.5;2.6
21159;"BW-M";"BCS-M";2004;1;2;"3";"0";0;44700;2.4;3.5;2.4
21159;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.6;3.5;2.6
21159;"BW-Pb";"BCS-Pb";2004;1;2;"3";"80";80;NA;2.6;3.5;2.6
21170;"BW-M";"BCS-M";2005;2;2;"1";"0";360;54700;2.8;3.5;2.8
21173;"BW-M";"BCS-M";2004;1;2;"3";"0";0;50000;2.8;3.5;2.8
21173;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.9;3.5;2.9
21180;"BW-M";"BCS-M";2003;1;1;"1";"0";0;39300;2.8;3.5;2.8
21180;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;3.2;3.5;3.2
21180;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.8;3.5;2.8
21183;"BW-M";"BCS-M";2003;1;1;"2";"0";0;43500;3.3;3.5;3.3
21183;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.2;3.5;3.2
21183;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21189;"BW-M";"BCS-M";2004;1;2;"3";"0";0;44500;2.7;3.5;2.7
21189;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.6;3.5;2.6
21191;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37400;3.2;3.5;3.2
21191;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;3.1;3.5;3.1
21191;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;3.2;3.5;3.2
21193;"BW-M";"BCS-M";2003;1;1;"1";"0";0;49300;2.8;3.5;2.8
21193;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.9;3.5;2.9
21193;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.7;3.5;2.7
21194;"BW-M";"BCS-M";2004;1;2;"4";"0";0;51100;2.8;3.5;2.8
21194;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.7;3.5;2.7
21200;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41600;2.7;3.5;2.7
21200;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21200;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.4;3.5;2.4
21202;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37000;2.8;3.5;2.8
21205;"BW-M";"BCS-M";2003;1;1;"2";"0";0;45200;2.9;3.5;2.9
21207;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38300;2.8;3.5;2.8
21207;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21207;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21210;"BW-M";"BCS-M";2004;1;2;"4";"0";0;48000;2.8;3.5;2.8
21210;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.9;3.5;2.9
21212;"BW-M";"BCS-M";2004;1;2;"2";"0";0;45500;2.9;4;2.9
21212;"BW-Pa";"BCS-Pa";2004;1;2;"2";"40";40;NA;3.1;4;3.1
21215;"BW-M";"BCS-M";2004;1;2;"3";"0";0;49600;2.6;3.5;2.6
21215;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.6;3.5;2.6
21216;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37400;2.6;3.5;2.6
21219;"BW-M";"BCS-M";2003;1;1;"2";"0";0;46000;2.7;3.5;2.7
21219;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21219;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21220;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37000;3.2;3.5;3.2
21220;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21220;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21224;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40800;2.9;3.5;2.9
21224;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21225;"BW-M";"BCS-M";2004;1;2;"1";"0";0;66800;2.9;3.5;2.9
21225;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.8;3.5;2.8
21226;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38300;2.9;3.5;2.9
21226;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21226;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21228;"BW-M";"BCS-M";2003;1;1;"2";"0";0;36000;2.7;3.5;2.7
21238;"BW-M";"BCS-M";2004;1;2;"3";"0";0;67600;2.9;3.5;2.9
21238;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;3;3.5;3
21240;"BW-M";"BCS-M";2003;1;1;"1";"0";0;39300;3;3.5;3
21240;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.9;3.5;2.9
21243;"BW-M";"BCS-M";2004;1;2;"4";"0";0;51400;2.7;3.5;2.7
21243;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.6;3.5;2.6
21243;"BW-Pb";"BCS-Pb";2004;1;2;"4";"80";80;NA;2.8;3.5;2.8
21248;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39900;2.9;3.5;2.9
21248;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21248;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21256;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40800;2.8;3.5;2.8
21256;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21256;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21262;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37900;2.9;3.5;2.9
21274;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40700;3;3.5;3
21274;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.6;3.5;2.6
21274;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21275;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38900;2.9;3.5;2.9
21275;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21275;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.8;3.5;2.8
21281;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40900;2.9;3.5;2.9
21281;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21281;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21285;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37900;2.9;3.5;2.9
21286;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37500;3.3;3.5;3.3
21286;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;3.3;3.5;3.3
21286;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;3;3.5;3
21289;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37600;2.8;3.5;2.8
21290;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41100;3.1;3.5;3.1
21290;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.3;3.5;3.3
21290;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3;3.5;3
21293;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38800;3.1;3.5;3.1
21293;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.3;3.5;3.3
21294;"BW-M";"BCS-M";2004;1;2;"4";"0";0;46700;2.5;3.5;2.5
21294;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.7;3.5;2.7
21294;"BW-Pb";"BCS-Pb";2004;1;2;"4";"80";80;NA;2.5;3.5;2.5
21296;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41000;3.1;3.5;3.1
21296;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21296;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21314;"BW-M";"BCS-M";2003;1;1;"2";"0";0;43300;2.9;3.5;2.9
21314;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21314;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21316;"BW-M";"BCS-M";2004;1;2;"4";"0";0;59300;2.9;3.5;2.9
21316;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.9;3.5;2.9
21321;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39900;3.1;3.5;3.1
21321;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.6;3.5;2.6
21339;"BW-M";"BCS-M";2003;1;1;"2";"0";0;41100;2.9;3.5;2.9
21339;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21339;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21342;"BW-M";"BCS-M";2004;1;2;"3";"0";0;55900;3;4;3
21342;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;3.2;4;3.2
21351;"BW-M";"BCS-M";2003;1;1;"2";"0";0;42900;2.6;3.5;2.6
21351;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.6;3.5;2.6
21351;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.5;3.5;2.5
21352;"BW-M";"BCS-M";2003;1;1;"1";"0";0;39400;2.6;3.5;2.6
21352;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.5;3.5;2.5
21352;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.5;3.5;2.5
21357;"BW-M";"BCS-M";2003;1;1;"2";"0";0;40500;3;3.5;3
21360;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38300;2.8;3.5;2.8
21360;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.9;3.5;2.9
21360;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21367;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37100;3.3;3.5;3.3
21371;"BW-M";"BCS-M";2004;2;1;"1";"0";360;53600;2.8;3.5;2.8
21371;"BW-Pa";"BCS-Pa";2004;2;1;"1";"40";400;NA;2.8;3.5;2.8
21375;"BW-M";"BCS-M";2004;2;1;"1";"0";360;48600;3;4;3
21385;"BW-M";"BCS-M";2004;1;2;"4";"0";0;49800;2.7;3.5;2.7
21385;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;2.9;3.5;2.9
21385;"BW-Pb";"BCS-Pb";2004;1;2;"4";"80";80;NA;2.7;3.5;2.7
21389;"BW-M";"BCS-M";2004;1;2;"2";"0";0;49700;2.7;3.5;2.7
21389;"BW-Pa";"BCS-Pa";2004;1;2;"2";"40";40;NA;2.9;3.5;2.9
21406;"BW-M";"BCS-M";2003;1;1;"1";"0";0;40000;3.1;3.5;3.1
21410;"BW-M";"BCS-M";2003;1;1;"2";"0";0;36400;2.8;3.5;2.8
21410;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.8;3.5;2.8
21410;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;3.5;2.7
21412;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37200;2.9;3.5;2.9
21412;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.8;3.5;2.8
21412;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.6;3.5;2.6
21416;"BW-M";"BCS-M";2003;1;1;"2";"0";0;46800;3.3;4;3.3
21416;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.3;4;3.3
21416;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3.3;4;3.3
21417;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38900;3.6;4;3.6
21417;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.3;4;3.3
21420;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37800;2.9;3.5;2.9
21421;"BW-M";"BCS-M";2003;1;1;"1";"0";0;36200;3;3.5;3
21421;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;3;3.5;3
21421;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.8;3.5;2.8
21430;"BW-M";"BCS-M";2004;1;2;"3";"0";0;46500;2.4;3.5;2.4
21430;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.7;3.5;2.7
21435;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39700;2.8;3.5;2.8
21435;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.2;3.5;3.2
21435;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21438;"BW-M";"BCS-M";2004;1;2;"3";"0";0;45000;2.8;3.5;2.8
21438;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.9;3.5;2.9
21440;"BW-M";"BCS-M";2003;1;1;"2";"0";0;37700;3.4;4;3.4
21440;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3.4;4;3.4
21440;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.7;4;2.7
21443;"BW-M";"BCS-M";2004;1;2;"1";"0";0;45700;2.9;3.5;2.9
21443;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.9;3.5;2.9
21450;"BW-M";"BCS-M";2004;1;2;"3";"0";0;44400;2.7;3.5;2.7
21450;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.8;3.5;2.8
21454;"BW-M";"BCS-M";2003;1;1;"1";"0";0;39400;3.1;3.5;3.1
21454;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;3;3.5;3
21454;"BW-Pb";"BCS-Pb";2003;1;1;"1";"80";80;NA;2.9;3.5;2.9
21455;"BW-M";"BCS-M";2003;1;1;"2";"0";0;35800;2.9;3.5;2.9
21455;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;2.7;3.5;2.7
21455;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.6;3.5;2.6
21458;"BW-M";"BCS-M";2003;1;1;"2";"0";0;35700;2.9;3.5;2.9
21458;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21458;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3;3.5;3
21460;"BW-M";"BCS-M";2003;1;1;"2";"0";0;35200;2.8;3.5;2.8
21460;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21462;"BW-M";"BCS-M";2004;1;2;"1";"0";0;47600;2.9;3.5;2.9
21462;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.8;3.5;2.8
21462;"BW-Pb";"BCS-Pb";2004;1;2;"1";"80";80;NA;2.8;3.5;2.8
21475;"BW-M";"BCS-M";2004;1;2;"3";"0";0;51800;2.7;3.5;2.7
21475;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.8;3.5;2.8
21475;"BW-Pb";"BCS-Pb";2004;1;2;"3";"80";80;NA;2.8;3.5;2.8
21477;"BW-M";"BCS-M";2003;1;1;"2";"0";0;43000;2.9;3.5;2.9
21483;"BW-M";"BCS-M";2004;1;2;"1";"0";0;46000;2.8;4;2.8
21483;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.8;4;2.8
21490;"BW-M";"BCS-M";2003;1;1;"2";"0";0;38100;3;3.5;3
21492;"BW-M";"BCS-M";2004;1;2;"4";"0";0;47900;2.7;3.5;2.7
21492;"BW-Pa";"BCS-Pa";2004;1;2;"4";"40";40;NA;3;3.5;3
21496;"BW-M";"BCS-M";2004;1;2;"3";"0";0;49400;2.7;3.5;2.7
21496;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.8;3.5;2.8
21498;"BW-M";"BCS-M";2004;1;2;"2";"0";0;44300;2.4;3.5;2.4
21500;"BW-M";"BCS-M";2004;1;2;"1";"0";0;50500;2.7;3.5;2.7
21500;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.9;3.5;2.9
21500;"BW-Pb";"BCS-Pb";2004;1;2;"1";"80";80;NA;2.8;3.5;2.8
21502;"BW-M";"BCS-M";2003;1;1;"1";"0";0;37200;3.1;3.5;3.1
21502;"BW-Pa";"BCS-Pa";2003;1;1;"1";"40";40;NA;2.8;3.5;2.8
21508;"BW-M";"BCS-M";2003;1;1;"2";"0";0;39900;3;3.5;3
21508;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21508;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;3;3.5;3
21510;"BW-M";"BCS-M";2004;1;2;"1";"0";0;44200;2.4;3.5;2.4
21510;"BW-Pa";"BCS-Pa";2004;1;2;"1";"40";40;NA;2.9;3.5;2.9
21511;"BW-M";"BCS-M";2004;1;2;"3";"0";0;46200;2.7;4;2.7
21511;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.9;4;2.9
21511;"BW-Pb";"BCS-Pb";2004;1;2;"3";"80";80;NA;2.9;4;2.9
21513;"BW-M";"BCS-M";2004;1;2;"3";"0";0;41000;2.4;3.5;2.4
21513;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.7;3.5;2.7
21516;"BW-M";"BCS-M";2003;1;1;"2";"0";0;35800;2.6;3.5;2.6
21516;"BW-Pa";"BCS-Pa";2003;1;1;"2";"40";40;NA;3;3.5;3
21516;"BW-Pb";"BCS-Pb";2003;1;1;"2";"80";80;NA;2.9;3.5;2.9
21539;"BW-M";"BCS-M";2004;1;2;"3";"0";0;40800;2.4;3.5;2.4
21539;"BW-Pa";"BCS-Pa";2004;1;2;"3";"40";40;NA;2.6;3.5;2.6
21544;"BW-M";"BCS-M";2003;1;1;"2";"0";0;35900;2.7;3.5;2.7
