"ID","ID2","ID3","kb1","kb2","kb3","kp1","kp2","kp3"
31474,31474,31474,0.00200629836189008,0.00200590529345246,NA,0.00529763987460202,0.0052828114774383,NA
31479,31479,31479,0.00423279875041188,0.00319457321959387,0.00447825176261107,0.00543204719126884,0.0060300502153331,0.00354864923966876
31494,31494,31494,0.00209498215311535,NA,NA,0.00489164937155321,NA,NA
31500,31500,31500,NA,0.00296580546607275,0.00309089006465015,NA,0.00421653007110722,0.00311219345478701
31504,31504,31504,0.0030085754488616,0.00220073711237962,NA,0.00317354099502461,0.0034426224381169,NA
31520,31520,31520,0.00300750204791866,0.00376454440515418,NA,0.00681698765929489,0.00437760810389021,NA
31526,31526,31526,0.0020805852063691,NA,NA,0.0064053758720573,NA,NA
31534,31534,31534,0.00255978327598255,0.00282172527214286,0.00119810634581341,0.00743729055093034,0.00584945375378793,0.00606512196522299
31538,31538,31538,0.00320887161922982,0.00307180063805584,NA,0.00392900658464758,0.00303861969693763,NA
31539,31539,31539,NA,0.0031666670872133,NA,NA,0.00299649298470778,NA
31540,31540,31540,NA,0.00116673724247339,NA,NA,0.00633427362402505,NA
31549,31549,31549,0.00353044526667693,NA,NA,0.00295845321669477,NA,NA
31563,31563,31563,0.00199935216819939,NA,NA,0.00332294415260281,NA,NA
31565,31565,31565,0.00267839320366026,NA,NA,0.00379380822531484,NA,NA
31575,31575,31575,0.00367302712566727,0.00399483774895202,0.00292314024757311,0.00635210557752893,0.00541278695138253,0.00295218856034335
31578,31578,31578,NA,0.00472557542379146,0.00303174584156009,NA,0.0104952385931233,0.00485078449244787
31580,31580,31580,NA,0.00385381203704308,0.00482592895474542,NA,0.00478863101601475,0.00260337544130141
31583,31583,31583,0.00567420773594219,0.00450061185533617,0.00385901029392478,0.00642494163120226,0.00557413910353205,0.00353390387784869
31585,31585,31585,0.00226589754789336,NA,NA,0.00299920070877387,NA,NA
31587,31587,31587,NA,0.00267613498507853,0.00253343041679619,NA,0.00313664913035258,0.00313060516234503
31591,31591,31591,NA,0.00472630956766263,NA,NA,0.00337569737930055,NA
31598,31598,31598,0.00204803320443581,0.00203812305876979,NA,0.00300816068176916,0.00300795449748694,NA
31600,31600,31600,0.00320652811982987,0.00395788611880941,0.0040205818095015,0.00671307461822929,0.00831856903295109,0.0074977042898453
31604,31604,31604,0.00200274148898995,NA,NA,0.00320946302122461,NA,NA
31608,31608,31608,NA,0.00319430387807933,NA,NA,0.00436729009757266,NA
31610,31610,31610,NA,0.00368160305655582,0.00193218071995224,NA,0.00543182666990744,0.00540271884841239
31625,31625,31625,0.0023111259989912,0.00312306433565866,NA,0.00792397092164992,0.00669648816597972,NA
31630,31630,31630,NA,0.00578151629898343,0.00378010773142602,NA,0.00525463810243716,0.00459054054977198
31633,31633,31633,0.00221603806691553,0.00204515651338124,NA,0.00316417756918261,0.00316438250341742,NA
31640,31640,31640,0.00371631928659529,0.00473949305220701,NA,0.00720922309890781,0.00336738476267564,NA
31641,31641,31641,NA,0.00427642918669786,0.00341605211855179,NA,0.00707835920151925,0.00445520717506163
31642,31642,31642,0.00451411291345363,0.0029287668241467,0.00250168381413842,0.00427503575482418,0.00696885483970871,0.00480912930530139
31649,31649,31649,0.00328165471382468,0.00453222454893751,NA,0.00568830402760309,0.00175941167368846,NA
31651,31651,31651,NA,0.00207423493381241,NA,NA,0.00412518994491961,NA
31653,31653,31653,0.00348075517608984,0.00343138063431668,NA,0.00380144892373276,0.00308433442866598,NA
31655,31655,31655,0.00160680202733456,NA,NA,0.00517364276553873,NA,NA
31657,31657,31657,0.00380843652106906,0.00318258882072282,0.00353312723972964,0.00472339703544909,0.00613358068423855,0.00351631593163434
31658,31658,31658,NA,0.00213006688066406,NA,NA,0.0049943662357158,NA
31660,31660,31660,0.00412962398252539,0.002656280126863,0.00249305746763906,0.00682615436596394,0.00759102545913919,0.00742689196686953
31662,31662,31662,NA,0.00330825558353988,0.00291615700758459,NA,0.00322385204148715,0.00300879822486455
31665,31665,31665,0.00248289688089992,0.002584399627451,NA,0.00320017243511103,0.00303808505253649,NA
31676,31676,31676,0.00137674225230473,NA,NA,0.00341360081182325,NA,NA
31677,31677,31677,NA,0.00239478528350834,NA,NA,0.00299881327069088,NA
31679,31679,31679,0.00282591451258328,0.00265315163101461,NA,0.00540111383258491,0.00437413264799275,NA
31689,31689,31689,0.00209665016018561,0.00209672274996041,NA,0.00301429754934284,0.00311218082381294,NA
31691,31691,31691,0.00199567305109472,NA,NA,0.00532849820231359,NA,NA
31696,31696,31696,0.00183754850660852,NA,NA,0.00449079053783032,NA,NA
31697,31697,31697,0.00408049149967063,0.00244341444372933,0.00339226752763368,0.00509388525277984,0.00596040581923968,0.00362199122087318
31706,31706,31706,0.00395478938026901,0.00351001061343559,0.00307879901132578,0.00613304029207165,0.00543905644789424,0.00417453126962573
31710,31710,31710,0.00220247661039794,NA,NA,0.00299939135287456,NA,NA
31714,31714,31714,0.00297822426952315,0.00315749830111226,NA,0.00603813303513189,0.00419802787032617,NA
41002,41002,41002,0.00228863444487087,0.00228542671580961,NA,0.00304454248143228,0.00300321178736966,NA
41006,41006,41006,0.0029815717727023,NA,NA,0.00460992482769141,NA,NA
41007,41007,41007,0.0024902065920106,NA,NA,0.00299852643309015,NA,NA
41008,41008,41008,0.00286193483596207,0.00303887566509448,0.00368978715043602,0.00577612766362603,0.0083421264033553,0.0084233635567126
