"ID","i","parity","kb","kp","tb","te","BCSm","Pmax","opt"
141120,1339,3,NA,NA,NA,NA,3.5,2,0.65220747043403
141135,1340,1,0.00533433317726456,0.00651829069989437,28,300,3.5,2,0.637035374163434
141135,1340,2,0.00465083823058529,0.00413002378674103,483,583,3.5,2,0.637035374163434
141135,1340,3,NA,NA,NA,NA,3.5,2,0.637035374163434
141140,1341,1,0.00370912028916455,0.00456192691727011,28,291,3.5,2,0.516275249511943
141140,1341,2,0.0034441226290464,0.00306939985505867,457,583,3.5,2,0.516275249511943
141140,1341,3,NA,NA,NA,NA,3.5,2,0.516275249511943
141141,1342,1,0.00465492991596585,0.0060588501523839,0,212,3.5,2,0.713070576138411
141141,1342,2,0.00225917331382579,0.00560781380326169,377,669,3.5,2,0.713070576138411
141141,1342,3,0.00221135612922735,0.00541483757786335,825,1030,3.5,2,0.713070576138411
141147,1343,1,0.00219120430103046,0.0037004468881923,24,279,3.5,2,0.837349722066796
141147,1343,2,0.00201141457489118,0.00372145417041147,446,619,3.5,2,0.837349722066796
141147,1343,3,NA,NA,NA,NA,3.5,2,0.837349722066796
141149,1344,1,0.00604371132906027,0.00488879762266345,83,225,3.5,2,0.697984171682303
141149,1344,2,0.0050519487817217,0.00428815054564133,399,512,3.5,2,0.697984171682303
141149,1344,3,NA,NA,NA,NA,3.5,2,0.697984171682303
141150,1345,1,0.00199686813819717,0.0045612331087086,30,151,3.5,2,0.666309674168149
141150,1345,2,0.00199686813819717,0.0045612331087086,514,661,3.5,2,0.666309674168149
141150,1345,3,NA,NA,NA,NA,3.5,2,0.666309674168149
141154,1346,1,0.00539126839637162,0.00675264078506474,35,310,3.5,2,0.712966084518376
141154,1346,2,0.00188491071109636,0.00515301999268047,437,617,3.5,2,0.712966084518376
141154,1346,3,NA,NA,NA,NA,3.5,2,0.712966084518376
141157,1347,1,0.00418100117794873,0.00707266550964266,18,282,3.5,2,0.552056813996994
141157,1347,2,0.00235176506316957,0.00371296368082975,411,522,3.5,2,0.552056813996994
141157,1347,3,NA,NA,NA,NA,3.5,2,0.552056813996994
141170,1348,1,0.00427098416776764,0.00433089049203427,23,272,3.5,2,0.643236267776211
141170,1348,2,0,0.00373071269771961,418,557,3.5,2,0.643236267776211
141170,1348,3,NA,NA,NA,NA,3.5,2,0.643236267776211
141180,1349,1,0.00488723992287843,0.00461601537709011,42,169,3.5,2,0.505522168830892
141180,1349,2,0.00173284128802153,0.00371134798453526,346,488,3.5,2,0.505522168830892
141180,1349,3,NA,NA,NA,NA,3.5,2,0.505522168830892
141192,1350,1,0.00430448241290749,0.00394247945493493,8,246,3.5,2,0.517117177841203
141192,1350,2,0.00183576829696382,0.00482196211731723,360,585,3.5,2,0.517117177841203
141192,1350,3,NA,NA,NA,NA,3.5,2,0.517117177841203
141194,1352,1,0.00229859946053534,0.00299910240643126,0,310,3.5,2,0.276441836058313
141194,1352,2,NA,NA,NA,NA,3.5,2,0.276441836058313
141194,1352,3,NA,NA,NA,NA,3.5,2,0.276441836058313
141203,1353,1,0.0027854056854098,0.0066371742404508,43,243,3.5,2,0.889995808318677
141203,1353,2,0.00451161224003951,0.00408996613238353,441,595,3.5,2,0.889995808318677
141203,1353,3,NA,NA,NA,NA,3.5,2,0.889995808318677
141215,1354,1,0.00216776516301501,0.00540906217005956,28,256,3.5,2,0.931355127763636
141215,1354,2,0.00200785993990466,0.00545476442680015,508,619,3.5,2,0.931355127763636
141215,1354,3,NA,NA,NA,NA,3.5,2,0.931355127763636
141216,1355,1,0.00357619530689271,0.0068385374501739,35,314,4,2,1.05374704038024
141216,1355,2,0.00171739466513249,0.00696197001328857,434,567,4,2,1.05374704038024
141216,1355,3,NA,NA,NA,NA,4,2,1.05374704038024
141219,1356,1,0.00363722879404811,0.00372847181292021,40,310,3.5,2,0.654642537550055
141219,1356,2,0.00275195696097988,0.00393980359928521,498,634,3.5,2,0.654642537550055
141219,1356,3,NA,NA,NA,NA,3.5,2,0.654642537550055
141229,1357,1,NA,NA,NA,NA,3.5,2,0.460009012388276
141229,1357,2,0.00204366265823987,0.0047510609593332,451,576,3.5,2,0.460009012388276
141229,1357,3,NA,NA,NA,NA,3.5,2,0.460009012388276
141231,1358,1,0.00315851990001288,0.0040057253088308,33,151,3.5,2,0.375142152320252
141231,1358,2,NA,NA,NA,NA,3.5,2,0.375142152320252
141231,1358,3,NA,NA,NA,NA,3.5,2,0.375142152320252
141250,1359,1,0.0020616102886036,0.00378330549505154,32,271,3.5,2,0.503180257404138
141250,1359,2,0.00281365010975391,0.00299474445330701,530,632,3.5,2,0.503180257404138
141250,1359,3,NA,NA,NA,NA,3.5,2,0.503180257404138
141257,1360,1,0.00418886244216162,0.00539527113837682,12,303,3.5,2,0.64376445356081
141257,1360,2,0.0024832947934558,0.00475933533765095,433,580,3.5,2,0.64376445356081
141257,1360,3,NA,NA,NA,NA,3.5,2,0.64376445356081
141263,1361,1,0.00441845340788944,0.0066303529296077,20,126,3.5,2,0.401354650074901
141263,1361,2,NA,NA,NA,NA,3.5,2,0.401354650074901
