"ID","kb1","kb2","kb3","kp1","kp2","kp3","tb1","tb2","tb3","te1","te2","te3","res","Group","BCSm"
81071,0.00319195598770576,0.00450174357463719,0.00257239664749657,0.00543043855485784,0.00889775741599209,0.00601972240193725,0,427,714,213,580,838,0.74084892664072,"G123",3.5
81072,0.00230646946731168,0.0021706683905016,NA,0.00403782566541074,0.00376458494504909,NA,13,438,NA,275,587,NA,0.402850808853388,"G12",3.5
81074,0.00417509818148847,0.00541710456649837,0.00282337654065601,0.00396655582974755,0.00403970170650458,0.00304705292959501,0,453,739,270,611,983,0.876702029616045,"G123",3.5
81083,0.0020878128801881,0.00190913203853937,NA,0.00379617558086368,0.00396095610766406,NA,34,443,NA,186,575,NA,0.531011922368263,"G12",3.5
81086,0.00158974852716359,NA,NA,0.00448441335667482,NA,NA,71,NA,NA,215,NA,NA,0.509965286015191,"G1",3.5
81093,0.00363335908849714,0.00384932400666683,0.00349520505677727,0.00615143767989951,0.00485939569474728,0.00366192549106104,73,467,760,273,616,1030,0.686878549845597,"G123",3.5
81094,0.00293197524287401,0.00459017075094018,0.0018486946956246,0.0046864957495366,0.00920894627381891,0.00602932026399805,60,482,718,222,602,853,0.686105051426807,"G123",3.5
81102,0.00244938264300251,0.00233620317756797,NA,0.00302206429167483,0.00307608652035186,NA,16,389,NA,253,579,NA,0.295670339484061,"G12",3.5
81115,NA,0.00249926350330918,NA,NA,0.0027505150362778,NA,NA,442,NA,NA,548,NA,0.448851316950807,"G2",3.5
81116,0.00299517489620629,0.00155098362546408,NA,0.00277487536103759,0.00389329528556796,NA,41,435,NA,190,636,NA,0.544660386525104,"G12",3.5
81124,0.00219942207871413,0.00200678516905136,NA,0.00390582531314811,0.0038997110145028,NA,0,430,NA,230,557,NA,0.373364325466552,"G12",3.5
81131,0.00340077158268063,0.00117135415681229,NA,0.00309363314905655,0.00423296714661506,NA,15,408,NA,254,563,NA,0.391874800365411,"G12",3.5
81132,0.00215357373034593,0.00196278713959724,NA,0.00342247501862108,0.00346822228887778,NA,0,435,NA,212,559,NA,0.421848077076092,"G12",3.5
81136,0.00233255305718139,0.00217147789087817,NA,0.00304924196100867,0.00340206911145008,NA,0,430,NA,222,555,NA,0.386097213827821,"G12",3.5
81137,NA,0.00228194820170549,NA,NA,0.00344920925849767,NA,NA,392,NA,NA,590,NA,0.278277111584355,"G2",4
81139,NA,0.00203023885061035,NA,NA,0.00474771935220368,NA,NA,440,NA,NA,582,NA,0.340139851508071,"G2",3.5
81144,NA,0.00347100551398493,0.0031592381646224,NA,0.00303321985959217,0.00304456359530801,NA,391,735,NA,620,822,0.651864246595453,"G23",3.5
81145,0.00392734089238893,0.00568450071808996,NA,0.00632886568565724,0.00294839314927555,NA,81,360,NA,236,624,NA,0.599684781066234,"G12",3.5
81150,0.0034479765450622,0.00316450714428405,NA,0.0036389186813281,0.00312096412112062,NA,0,440,NA,288,558,NA,0.444524025343887,"G12",3.5
81155,0.00492724314917819,0.0063334519705862,0.00255923716724028,0.00617476789080415,0.00638036010042685,0.00457302207679358,43,361,763,244,670,975,0.717856179868708,"G123",3.5
81157,0.00246751329813174,0.00246935679581555,NA,0.00300411886914089,0.00300106606302578,NA,0,465,NA,187,660,NA,0.399159890383017,"G12",3.5
81159,0.00244512620847156,0.00277788620054604,NA,0.00732790253071066,0.00490098636282047,NA,0,451,NA,229,555,NA,0.583204362107531,"G12",4
81165,NA,0.00203480890120892,NA,NA,0.00374683793255297,NA,NA,444,NA,NA,611,NA,0.32441034254549,"G2",3.5
81177,0.00296010487743025,0.00123133859223108,NA,0.00272459221205662,0.0038295366557327,NA,55,430,NA,289,567,NA,0.450454352146142,"G12",3.5
81180,0.00253508840261695,0.00252926346629561,NA,0.00301359649120593,0.00300220146476927,NA,72,445,NA,320,596,NA,0.38589491095387,"G12",3.5
81181,0.00233780436356338,0.00187470678457172,NA,0.00307772305497408,0.0031167733214798,NA,0,427,NA,261,571,NA,0.385786024633258,"G12",3.5
